social_site,date,number_results,error
gab,2022-08-16,280,NA
telegram,2022-08-17,43,NA
truth_social,2022-08-17,243,NA
gettr,2022-08-17,218,NA
parler,2022-08-17,37,NA
gab,2022-08-17,240,NA
telegram,2022-08-18,30,NA
truth_social,2022-08-18,168,NA
gettr,2022-08-18,156,NA
parler,2022-08-18,28,NA
gab,2022-08-18,134,NA
telegram,2022-08-19,22,NA
truth_social,2022-08-19,145,NA
gettr,2022-08-19,147,NA
parler,2022-08-19,58,NA
gab,2022-08-19,142,NA
telegram,2022-08-20,16,NA
truth_social,2022-08-20,94,NA
gettr,2022-08-20,89,NA
parler,2022-08-20,15,NA
gab,2022-08-20,79,NA
telegram,2022-08-21,15,NA
truth_social,2022-08-21,100,NA
gettr,2022-08-21,86,NA
parler,2022-08-21,14,NA
gab,2022-08-21,81,NA
telegram,2022-08-22,16,NA
truth_social,2022-08-22,92,NA
gettr,2022-08-22,117,NA
parler,2022-08-22,25,NA
gab,2022-08-22,119,NA
telegram,2022-08-23,31,NA
truth_social,2022-08-23,91,NA
gettr,2022-08-23,139,NA
parler,2022-08-23,18,NA
gab,2022-08-23,94,NA
telegram,2022-08-24,17,NA
truth_social,2022-08-24,81,NA
gettr,2022-08-24,93,NA
parler,2022-08-24,9,NA
gab,2022-08-24,86,NA
telegram,2022-08-25,23,NA
truth_social,2022-08-25,55,NA
gettr,2022-08-25,60,NA
parler,2022-08-25,13,NA
gab,2022-08-25,47,NA
telegram,2022-08-26,46,NA
truth_social,2022-08-26,108,NA
gettr,2022-08-26,84,NA
parler,2022-08-26,8,NA
gab,2022-08-26,78,NA
telegram,2022-08-27,13,NA
truth_social,2022-08-27,96,NA
gettr,2022-08-27,54,NA
parler,2022-08-27,7,NA
gab,2022-08-27,29,NA
telegram,2022-08-28,12,NA
truth_social,2022-08-28,69,NA
gettr,2022-08-28,38,NA
parler,2022-08-28,14,NA
gab,2022-08-28,34,NA
telegram,2022-08-29,14,NA
truth_social,2022-08-29,48,NA
gettr,2022-08-29,46,NA
parler,2022-08-29,4,NA
gab,2022-08-29,31,NA
telegram,2022-08-30,16,NA
truth_social,2022-08-30,82,NA
gettr,2022-08-30,55,NA
parler,2022-08-30,3,NA
gab,2022-08-30,45,NA
telegram,2022-08-31,9,NA
truth_social,2022-08-31,122,NA
gettr,2022-08-31,77,NA
parler,2022-08-31,7,NA
gab,2022-08-31,65,NA
telegram,2022-09-01,17,NA
truth_social,2022-09-01,64,NA
gettr,2022-09-01,91,NA
parler,2022-09-01,5,NA
gab,2022-09-01,44,NA
telegram,2022-09-02,22,NA
truth_social,2022-09-02,108,NA
gettr,2022-09-02,77,NA
parler,2022-09-02,6,NA
gab,2022-09-02,43,NA
telegram,2022-09-03,7,NA
truth_social,2022-09-03,79,NA
gettr,2022-09-03,33,NA
parler,2022-09-03,11,NA
gab,2022-09-03,42,NA
telegram,2022-09-04,14,NA
truth_social,2022-09-04,67,NA
gettr,2022-09-04,66,NA
parler,2022-09-04,9,NA
gab,2022-09-04,24,NA
telegram,2022-09-05,12,NA
truth_social,2022-09-05,59,NA
gettr,2022-09-05,79,NA
parler,2022-09-05,6,NA
gab,2022-09-05,37,NA
telegram,2022-09-06,17,NA
truth_social,2022-09-06,88,NA
gettr,2022-09-06,106,NA
parler,2022-09-06,5,NA
gab,2022-09-06,47,NA
telegram,2022-09-07,27,NA
truth_social,2022-09-07,136,NA
gettr,2022-09-07,127,NA
parler,2022-09-07,12,NA
gab,2022-09-07,33,NA
telegram,2022-09-08,24,NA
truth_social,2022-09-08,89,NA
gettr,2022-09-08,147,NA
parler,2022-09-08,9,NA
gab,2022-09-08,63,NA
telegram,2022-09-09,16,NA
truth_social,2022-09-09,78,NA
gettr,2022-09-09,92,NA
parler,2022-09-09,13,NA
gab,2022-09-09,52,NA
telegram,2022-09-10,12,NA
truth_social,2022-09-10,49,NA
gettr,2022-09-10,52,NA
parler,2022-09-10,7,NA
gab,2022-09-10,27,NA
telegram,2022-09-11,21,NA
truth_social,2022-09-11,23,NA
gettr,2022-09-11,59,NA
parler,2022-09-11,12,NA
gab,2022-09-11,27,NA
telegram,2022-09-12,28,NA
truth_social,2022-09-12,89,NA
gettr,2022-09-12,68,NA
parler,2022-09-12,3,NA
gab,2022-09-12,27,NA
telegram,2022-09-13,20,NA
truth_social,2022-09-13,39,NA
gettr,2022-09-13,45,NA
parler,2022-09-13,2,NA
gab,2022-09-13,49,NA
telegram,2022-09-14,12,NA
truth_social,2022-09-14,73,NA
gettr,2022-09-14,58,NA
parler,2022-09-14,5,NA
gab,2022-09-14,38,NA
telegram,2022-09-15,19,NA
truth_social,2022-09-15,87,NA
gettr,2022-09-15,97,NA
parler,2022-09-15,8,NA
gab,2022-09-15,32,NA
telegram,2022-09-16,22,NA
truth_social,2022-09-16,106,NA
gettr,2022-09-16,74,NA
parler,2022-09-16,8,NA
gab,2022-09-16,105,NA
telegram,2022-09-17,16,NA
truth_social,2022-09-17,90,NA
gettr,2022-09-17,40,NA
parler,2022-09-17,4,NA
gab,2022-09-17,28,NA
telegram,2022-09-18,16,NA
truth_social,2022-09-18,58,NA
gettr,2022-09-18,38,NA
parler,2022-09-18,5,NA
gab,2022-09-18,21,NA
telegram,2022-09-19,10,NA
truth_social,2022-09-19,61,NA
gettr,2022-09-19,78,NA
parler,2022-09-19,8,NA
gab,2022-09-19,27,NA
telegram,2022-09-20,18,NA
truth_social,2022-09-20,64,NA
gettr,2022-09-20,55,NA
parler,2022-09-20,12,NA
gab,2022-09-20,24,NA
telegram,2022-09-21,41,NA
truth_social,2022-09-21,180,NA
gettr,2022-09-21,65,NA
parler,2022-09-21,10,NA
gab,2022-09-21,30,NA
telegram,2022-09-22,27,NA
truth_social,2022-09-22,133,NA
gettr,2022-09-22,118,NA
parler,2022-09-22,6,NA
gab,2022-09-22,81,NA
telegram,2022-09-23,27,NA
truth_social,2022-09-23,75,NA
gettr,2022-09-23,56,NA
parler,2022-09-23,0,NA
gab,2022-09-23,53,NA
telegram,2022-09-24,11,NA
truth_social,2022-09-24,38,NA
gettr,2022-09-24,43,NA
parler,2022-09-24,1,NA
gab,2022-09-24,28,NA
telegram,2022-09-25,9,NA
truth_social,2022-09-25,54,NA
gettr,2022-09-25,66,NA
parler,2022-09-25,2,NA
gab,2022-09-25,29,NA
telegram,2022-09-26,15,NA
truth_social,2022-09-26,34,NA
gettr,2022-09-26,36,NA
parler,2022-09-26,1,NA
gab,2022-09-26,34,NA
telegram,2022-09-27,8,NA
truth_social,2022-09-27,62,NA
gettr,2022-09-27,63,NA
parler,2022-09-27,3,NA
gab,2022-09-27,42,NA
telegram,2022-09-28,19,NA
truth_social,2022-09-28,65,NA
gettr,2022-09-28,87,NA
parler,2022-09-28,3,NA
gab,2022-09-28,40,NA
telegram,2022-09-29,17,NA
truth_social,2022-09-29,57,NA
gettr,2022-09-29,42,NA
parler,2022-09-29,8,NA
gab,2022-09-29,34,NA
telegram,2022-09-30,10,NA
truth_social,2022-09-30,89,NA
gettr,2022-09-30,69,NA
parler,2022-09-30,10,NA
gab,2022-09-30,52,NA
telegram,2022-10-01,24,NA
truth_social,2022-10-01,92,NA
gettr,2022-10-01,58,NA
parler,2022-10-01,3,NA
gab,2022-10-01,52,NA
telegram,2022-10-02,11,NA
truth_social,2022-10-02,31,NA
gettr,2022-10-02,27,NA
parler,2022-10-02,1,NA
gab,2022-10-02,76,NA
telegram,2022-10-03,11,NA
truth_social,2022-10-03,49,NA
gettr,2022-10-03,58,NA
parler,2022-10-03,1,NA
gab,2022-10-03,67,NA
telegram,2022-10-04,12,NA
truth_social,2022-10-04,86,NA
gettr,2022-10-04,59,NA
parler,2022-10-04,3,NA
gab,2022-10-04,76,NA
telegram,2022-10-05,21,NA
truth_social,2022-10-05,69,NA
gettr,2022-10-05,60,NA
parler,2022-10-05,8,NA
gab,2022-10-05,39,NA
telegram,2022-10-06,38,NA
truth_social,2022-10-06,87,NA
gettr,2022-10-06,57,NA
parler,2022-10-06,5,NA
gab,2022-10-06,119,NA
telegram,2022-10-07,35,NA
truth_social,2022-10-07,233,NA
gettr,2022-10-07,158,NA
parler,2022-10-07,10,NA
gab,2022-10-07,99,NA
telegram,2022-10-08,27,NA
truth_social,2022-10-08,95,NA
gettr,2022-10-08,97,NA
parler,2022-10-08,1,NA
gab,2022-10-08,72,NA
telegram,2022-10-09,21,NA
truth_social,2022-10-09,49,NA
gettr,2022-10-09,33,NA
parler,2022-10-09,2,NA
gab,2022-10-09,53,NA
telegram,2022-10-10,14,NA
truth_social,2022-10-10,47,NA
gettr,2022-10-10,32,NA
parler,2022-10-10,1,NA
gab,2022-10-10,50,NA
telegram,2022-10-11,20,NA
truth_social,2022-10-11,68,NA
gettr,2022-10-11,65,NA
parler,2022-10-11,4,NA
gab,2022-10-11,52,NA
telegram,2022-10-12,15,NA
truth_social,2022-10-12,53,NA
gettr,2022-10-12,69,NA
parler,2022-10-12,4,NA
gab,2022-10-12,55,NA
telegram,2022-10-13,14,NA
truth_social,2022-10-13,41,NA
gettr,2022-10-13,44,NA
parler,2022-10-13,4,NA
gab,2022-10-13,28,NA
telegram,2022-10-14,17,NA
truth_social,2022-10-14,54,NA
gettr,2022-10-14,24,NA
parler,2022-10-14,2,NA
gab,2022-10-14,52,NA
telegram,2022-10-15,14,NA
truth_social,2022-10-15,44,NA
gettr,2022-10-15,37,NA
parler,2022-10-15,4,NA
gab,2022-10-15,39,NA
telegram,2022-10-16,13,NA
truth_social,2022-10-16,72,NA
gettr,2022-10-16,57,NA
parler,2022-10-16,8,NA
gab,2022-10-16,56,NA
telegram,2022-10-17,15,NA
truth_social,2022-10-17,79,NA
gettr,2022-10-17,106,NA
parler,2022-10-17,13,NA
gab,2022-10-17,81,NA
telegram,2022-10-18,35,NA
truth_social,2022-10-18,164,NA
gettr,2022-10-18,89,NA
parler,2022-10-18,7,NA
gab,2022-10-18,49,NA
telegram,2022-10-19,46,NA
truth_social,2022-10-19,321,NA
gettr,2022-10-19,146,NA
parler,2022-10-19,20,NA
gab,2022-10-19,124,NA
telegram,2022-10-20,62,NA
truth_social,2022-10-20,199,NA
gettr,2022-10-20,123,NA
parler,2022-10-20,11,NA
gab,2022-10-20,142,NA
telegram,2022-10-21,33,NA
truth_social,2022-10-21,278,NA
gettr,2022-10-21,208,NA
parler,2022-10-21,32,NA
gab,2022-10-21,146,NA
telegram,2022-10-22,37,NA
truth_social,2022-10-22,173,NA
gettr,2022-10-22,95,NA
parler,2022-10-22,8,NA
gab,2022-10-22,86,NA
telegram,2022-10-23,18,NA
truth_social,2022-10-23,163,NA
gettr,2022-10-23,55,NA
parler,2022-10-23,6,NA
gab,2022-10-23,68,NA
telegram,2022-10-24,14,NA
truth_social,2022-10-24,176,NA
gettr,2022-10-24,53,NA
parler,2022-10-24,7,NA
gab,2022-10-24,84,NA
telegram,2022-10-25,40,NA
truth_social,2022-10-25,140,NA
gettr,2022-10-25,68,NA
parler,2022-10-25,17,NA
gab,2022-10-25,66,NA
telegram,2022-10-26,31,NA
truth_social,2022-10-26,78,NA
gettr,2022-10-26,72,NA
parler,2022-10-26,10,NA
gab,2022-10-26,98,NA
telegram,2022-10-27,34,NA
truth_social,2022-10-27,137,NA
gettr,2022-10-27,41,NA
parler,2022-10-27,9,NA
gab,2022-10-27,64,NA
telegram,2022-10-28,14,NA
truth_social,2022-10-28,56,NA
gettr,2022-10-28,37,NA
parler,2022-10-28,9,NA
gab,2022-10-28,146,NA
telegram,2022-10-29,17,NA
truth_social,2022-10-29,55,NA
gettr,2022-10-29,30,NA
parler,2022-10-29,4,NA
gab,2022-10-29,56,NA
telegram,2022-10-30,15,NA
truth_social,2022-10-30,124,NA
gettr,2022-10-30,57,NA
parler,2022-10-30,8,NA
gab,2022-10-30,75,NA
telegram,2022-10-31,13,NA
truth_social,2022-10-31,92,NA
gettr,2022-10-31,44,NA
parler,2022-10-31,6,NA
gab,2022-10-31,113,NA
telegram,2022-11-01,40,NA
truth_social,2022-11-01,126,NA
gettr,2022-11-01,37,NA
parler,2022-11-01,5,NA
gab,2022-11-01,104,NA
telegram,2022-11-02,13,NA
truth_social,2022-11-02,109,NA
gettr,2022-11-02,50,NA
parler,2022-11-02,1,NA
gab,2022-11-02,49,NA
telegram,2022-11-03,6,NA
truth_social,2022-11-03,141,NA
gettr,2022-11-03,29,NA
parler,2022-11-03,3,NA
gab,2022-11-03,45,NA
telegram,2022-11-04,13,NA
truth_social,2022-11-04,83,NA
gettr,2022-11-04,63,NA
parler,2022-11-04,5,NA
gab,2022-11-04,52,NA
telegram,2022-11-05,23,NA
truth_social,2022-11-05,102,NA
gettr,2022-11-05,56,NA
parler,2022-11-05,6,NA
gab,2022-11-05,68,NA
telegram,2022-11-06,17,NA
truth_social,2022-11-06,111,NA
gettr,2022-11-06,46,NA
parler,2022-11-06,1,NA
gab,2022-11-06,50,NA
telegram,2022-11-07,6,NA
truth_social,2022-11-07,71,NA
gettr,2022-11-07,31,NA
parler,2022-11-07,2,NA
gab,2022-11-07,51,NA
telegram,2022-11-08,29,NA
truth_social,2022-11-08,199,NA
gettr,2022-11-08,60,NA
parler,2022-11-08,9,NA
gab,2022-11-08,52,NA
telegram,2022-11-09,45,NA
truth_social,2022-11-09,290,NA
gettr,2022-11-09,72,NA
parler,2022-11-09,11,NA
gab,2022-11-09,87,NA
telegram,2022-11-10,23,NA
truth_social,2022-11-10,131,NA
gettr,2022-11-10,52,NA
parler,2022-11-10,5,NA
gab,2022-11-10,84,NA
telegram,2022-11-11,9,NA
truth_social,2022-11-11,125,NA
gettr,2022-11-11,57,NA
parler,2022-11-11,1,NA
gab,2022-11-11,68,NA
telegram,2022-11-12,7,NA
truth_social,2022-11-12,109,NA
gettr,2022-11-12,49,NA
parler,2022-11-12,1,NA
gab,2022-11-12,102,NA
telegram,2022-11-13,18,NA
truth_social,2022-11-13,125,NA
gettr,2022-11-13,37,NA
parler,2022-11-13,4,NA
gab,2022-11-13,45,NA
telegram,2022-11-14,12,NA
truth_social,2022-11-14,180,NA
gettr,2022-11-14,34,NA
parler,2022-11-14,2,NA
gab,2022-11-14,50,NA
telegram,2022-11-15,9,NA
truth_social,2022-11-15,127,NA
gettr,2022-11-15,37,NA
parler,2022-11-15,4,NA
gab,2022-11-15,33,NA
telegram,2022-11-16,13,NA
truth_social,2022-11-16,162,NA
gettr,2022-11-16,39,NA
parler,2022-11-16,3,NA
gab,2022-11-16,43,NA
telegram,2022-11-17,11,NA
truth_social,2022-11-17,218,NA
gettr,2022-11-17,52,NA
parler,2022-11-17,11,NA
gab,2022-11-17,60,NA
telegram,2022-11-18,16,NA
truth_social,2022-11-18,187,NA
gettr,2022-11-18,40,NA
parler,2022-11-18,5,NA
gab,2022-11-18,38,NA
telegram,2022-11-19,9,NA
truth_social,2022-11-19,507,NA
gettr,2022-11-19,46,NA
parler,2022-11-19,4,NA
gab,2022-11-19,36,NA
telegram,2022-11-20,17,NA
truth_social,2022-11-20,729,NA
gettr,2022-11-20,77,NA
parler,2022-11-20,16,NA
gab,2022-11-20,85,NA
telegram,2022-11-21,36,NA
truth_social,2022-11-21,1168,NA
gettr,2022-11-21,123,NA
parler,2022-11-21,16,NA
gab,2022-11-21,109,NA
telegram,2022-11-22,18,NA
truth_social,2022-11-22,1189,NA
gettr,2022-11-22,68,NA
parler,2022-11-22,16,NA
gab,2022-11-22,79,NA
telegram,2022-11-23,14,NA
truth_social,2022-11-23,630,NA
gettr,2022-11-23,46,NA
parler,2022-11-23,0,NA
gab,2022-11-23,64,NA
telegram,2022-11-24,20,NA
truth_social,2022-11-24,342,NA
gettr,2022-11-24,44,NA
parler,2022-11-24,4,NA
gab,2022-11-24,218,NA
telegram,2022-11-25,11,NA
truth_social,2022-11-25,1098,NA
gettr,2022-11-25,53,NA
parler,2022-11-25,8,NA
gab,2022-11-25,134,NA
telegram,2022-11-26,17,NA
truth_social,2022-11-26,233,NA
gettr,2022-11-26,34,NA
parler,2022-11-26,2,NA
gab,2022-11-26,70,NA
telegram,2022-11-27,25,NA
truth_social,2022-11-27,226,NA
gettr,2022-11-27,40,NA
parler,2022-11-27,2,NA
gab,2022-11-27,58,NA
telegram,2022-11-28,7,NA
truth_social,2022-11-28,620,NA
gettr,2022-11-28,61,NA
parler,2022-11-28,7,NA
gab,2022-11-28,81,NA
telegram,2022-11-29,24,NA
truth_social,2022-11-29,420,NA
gettr,2022-11-29,41,NA
parler,2022-11-29,9,NA
gab,2022-11-29,52,NA
telegram,2022-11-30,38,NA
truth_social,2022-11-30,282,NA
gettr,2022-11-30,142,NA
parler,2022-11-30,27,NA
gab,2022-11-30,143,NA
telegram,2022-12-01,19,NA
truth_social,2022-12-01,160,NA
gettr,2022-12-01,42,NA
parler,2022-12-01,6,NA
gab,2022-12-01,69,NA
telegram,2022-12-02,22,NA
truth_social,2022-12-02,265,NA
gettr,2022-12-02,76,NA
parler,2022-12-02,8,NA
gab,2022-12-02,49,NA
telegram,2022-12-03,17,NA
truth_social,2022-12-03,163,NA
gettr,2022-12-03,57,NA
parler,2022-12-03,3,NA
gab,2022-12-03,69,NA
telegram,2022-12-04,7,NA
truth_social,2022-12-04,275,NA
gettr,2022-12-04,49,NA
parler,2022-12-04,11,NA
gab,2022-12-04,65,NA
telegram,2022-12-05,23,NA
truth_social,2022-12-05,194,NA
gettr,2022-12-05,79,NA
parler,2022-12-05,8,NA
gab,2022-12-05,27,NA
telegram,2022-12-06,32,NA
truth_social,2022-12-06,328,NA
gettr,2022-12-06,135,NA
parler,2022-12-06,19,NA
gab,2022-12-06,41,NA
telegram,2022-12-07,15,NA
truth_social,2022-12-07,239,NA
gettr,2022-12-07,67,NA
parler,2022-12-07,7,NA
gab,2022-12-07,26,NA
telegram,2022-12-08,20,NA
truth_social,2022-12-08,198,NA
gettr,2022-12-08,72,NA
parler,2022-12-08,10,NA
gab,2022-12-08,30,NA
telegram,2022-12-09,4,NA
truth_social,2022-12-09,258,NA
gettr,2022-12-09,66,NA
parler,2022-12-09,8,NA
gab,2022-12-09,41,NA
telegram,2022-12-10,34,NA
truth_social,2022-12-10,246,NA
gettr,2022-12-10,129,NA
parler,2022-12-10,11,NA
gab,2022-12-10,45,NA
telegram,2022-12-11,22,NA
truth_social,2022-12-11,302,NA
gettr,2022-12-11,87,NA
parler,2022-12-11,10,NA
gab,2022-12-11,41,NA
telegram,2022-12-12,4,NA
truth_social,2022-12-12,146,NA
gettr,2022-12-12,46,NA
parler,2022-12-12,5,NA
gab,2022-12-12,32,NA
telegram,2022-12-13,7,NA
truth_social,2022-12-13,170,NA
gettr,2022-12-13,43,NA
parler,2022-12-13,11,NA
gab,2022-12-13,26,NA
telegram,2022-12-14,11,NA
truth_social,2022-12-14,186,NA
gettr,2022-12-14,34,NA
parler,2022-12-14,3,NA
gab,2022-12-14,18,NA
telegram,2022-12-15,1,NA
truth_social,2022-12-15,128,NA
gettr,2022-12-15,43,NA
parler,2022-12-15,7,NA
gab,2022-12-15,20,NA
telegram,2022-12-16,9,NA
truth_social,2022-12-16,952,NA
gettr,2022-12-16,34,NA
parler,2022-12-16,1,NA
gab,2022-12-16,15,NA
telegram,2022-12-17,7,NA
truth_social,2022-12-17,211,NA
gettr,2022-12-17,21,NA
parler,2022-12-17,4,NA
gab,2022-12-17,26,NA
telegram,2022-12-18,18,NA
truth_social,2022-12-18,131,NA
gettr,2022-12-18,26,NA
parler,2022-12-18,6,NA
gab,2022-12-18,23,NA
telegram,2022-12-19,14,NA
truth_social,2022-12-19,218,NA
gettr,2022-12-19,80,NA
parler,2022-12-19,11,NA
gab,2022-12-19,31,NA
telegram,2022-12-20,13,NA
truth_social,2022-12-20,714,NA
gettr,2022-12-20,38,NA
parler,2022-12-20,8,NA
gab,2022-12-20,21,NA
telegram,2022-12-21,11,NA
truth_social,2022-12-21,332,NA
gettr,2022-12-21,76,NA
parler,2022-12-21,6,NA
gab,2022-12-21,84,NA
telegram,2022-12-22,12,NA
truth_social,2022-12-22,152,NA
gettr,2022-12-22,36,NA
parler,2022-12-22,4,NA
gab,2022-12-22,28,NA
telegram,2022-12-23,20,NA
truth_social,2022-12-23,113,NA
gettr,2022-12-23,56,NA
parler,2022-12-23,7,NA
gab,2022-12-23,28,NA
telegram,2022-12-24,6,NA
truth_social,2022-12-24,182,NA
gettr,2022-12-24,53,NA
parler,2022-12-24,4,NA
gab,2022-12-24,26,NA
telegram,2022-12-25,8,NA
truth_social,2022-12-25,57,NA
gettr,2022-12-25,28,NA
parler,2022-12-25,2,NA
gab,2022-12-25,10,NA
telegram,2022-12-26,10,NA
truth_social,2022-12-26,120,NA
gettr,2022-12-26,57,NA
parler,2022-12-26,3,NA
gab,2022-12-26,30,NA
telegram,2022-12-27,5,NA
truth_social,2022-12-27,116,NA
gettr,2022-12-27,43,NA
parler,2022-12-27,2,NA
gab,2022-12-27,17,NA
telegram,2022-12-28,20,NA
truth_social,2022-12-28,112,NA
gettr,2022-12-28,44,NA
parler,2022-12-28,3,NA
gab,2022-12-28,23,NA
telegram,2022-12-29,14,NA
truth_social,2022-12-29,78,NA
gettr,2022-12-29,47,NA
parler,2022-12-29,6,NA
gab,2022-12-29,17,NA
telegram,2022-12-30,2,NA
truth_social,2022-12-30,58,NA
gettr,2022-12-30,18,NA
parler,2022-12-30,4,NA
gab,2022-12-30,16,NA
telegram,2022-12-31,12,NA
truth_social,2022-12-31,71,NA
gettr,2022-12-31,30,NA
parler,2022-12-31,2,NA
gab,2022-12-31,24,NA
telegram,2023-01-01,10,NA
truth_social,2023-01-01,110,NA
gettr,2023-01-01,42,NA
parler,2023-01-01,9,NA
gab,2023-01-01,16,NA
telegram,2023-01-02,19,NA
truth_social,2023-01-02,696,NA
gettr,2023-01-02,47,NA
parler,2023-01-02,3,NA
gab,2023-01-02,23,NA
telegram,2023-01-03,19,NA
truth_social,2023-01-03,165,NA
gettr,2023-01-03,33,NA
parler,2023-01-03,8,NA
gab,2023-01-03,31,NA
telegram,2023-01-04,22,NA
truth_social,2023-01-04,160,NA
gettr,2023-01-04,66,NA
parler,2023-01-04,6,NA
gab,2023-01-04,30,NA
telegram,2023-01-05,21,NA
truth_social,2023-01-05,245,NA
gettr,2023-01-05,60,NA
parler,2023-01-05,4,NA
gab,2023-01-05,25,NA
telegram,2023-01-06,31,NA
truth_social,2023-01-06,119,NA
gettr,2023-01-06,42,NA
parler,2023-01-06,9,NA
gab,2023-01-06,14,NA
telegram,2023-01-07,14,NA
truth_social,2023-01-07,83,NA
gettr,2023-01-07,35,NA
parler,2023-01-07,5,NA
gab,2023-01-07,18,NA
telegram,2023-01-08,28,NA
truth_social,2023-01-08,142,NA
gettr,2023-01-08,40,NA
parler,2023-01-08,8,NA
gab,2023-01-08,20,NA
telegram,2023-01-09,22,NA
truth_social,2023-01-09,139,NA
gettr,2023-01-09,62,NA
parler,2023-01-09,7,NA
gab,2023-01-09,20,NA
telegram,2023-01-10,42,NA
truth_social,2023-01-10,625,NA
gettr,2023-01-10,216,NA
parler,2023-01-10,31,NA
gab,2023-01-10,38,NA
telegram,2023-01-11,28,NA
truth_social,2023-01-11,395,NA
gettr,2023-01-11,92,NA
parler,2023-01-11,9,NA
gab,2023-01-11,25,NA
telegram,2023-01-12,17,NA
truth_social,2023-01-12,343,NA
gettr,2023-01-12,82,NA
parler,2023-01-12,8,NA
gab,2023-01-12,40,NA
telegram,2023-01-13,17,NA
truth_social,2023-01-13,197,NA
gettr,2023-01-13,67,NA
parler,2023-01-13,10,NA
gab,2023-01-13,19,NA
telegram,2023-01-14,13,NA
truth_social,2023-01-14,221,NA
gettr,2023-01-14,101,NA
parler,2023-01-14,6,NA
gab,2023-01-14,25,NA
telegram,2023-01-15,36,NA
truth_social,2023-01-15,207,NA
gettr,2023-01-15,95,NA
parler,2023-01-15,4,NA
gab,2023-01-15,23,NA
telegram,2023-01-16,24,NA
truth_social,2023-01-16,258,NA
gettr,2023-01-16,93,NA
parler,2023-01-16,19,NA
gab,2023-01-16,30,NA
telegram,2023-01-17,31,NA
truth_social,2023-01-17,355,NA
gettr,2023-01-17,90,NA
parler,2023-01-17,12,NA
gab,2023-01-17,11,NA
telegram,2023-01-18,24,NA
truth_social,2023-01-18,501,NA
gettr,2023-01-18,132,NA
parler,2023-01-18,14,NA
gab,2023-01-18,33,NA
telegram,2023-01-19,30,NA
truth_social,2023-01-19,208,NA
gettr,2023-01-19,81,NA
parler,2023-01-19,14,NA
gab,2023-01-19,77,NA
telegram,2023-01-20,10,NA
truth_social,2023-01-20,189,NA
gettr,2023-01-20,87,NA
parler,2023-01-20,11,NA
gab,2023-01-20,19,NA
telegram,2023-01-21,16,NA
truth_social,2023-01-21,131,NA
gettr,2023-01-21,78,NA
parler,2023-01-21,8,NA
gab,2023-01-21,31,NA
telegram,2023-01-22,11,NA
truth_social,2023-01-22,95,NA
gettr,2023-01-22,85,NA
parler,2023-01-22,4,NA
gab,2023-01-22,27,NA
telegram,2023-01-23,26,NA
truth_social,2023-01-23,98,NA
gettr,2023-01-23,53,NA
parler,2023-01-23,11,NA
gab,2023-01-23,28,NA
telegram,2023-01-24,22,NA
truth_social,2023-01-24,282,NA
gettr,2023-01-24,167,NA
parler,2023-01-24,12,NA
gab,2023-01-24,64,NA
telegram,2023-01-25,63,NA
truth_social,2023-01-25,1059,NA
gettr,2023-01-25,187,NA
parler,2023-01-25,35,NA
gab,2023-01-25,68,NA
telegram,2023-01-26,67,NA
truth_social,2023-01-26,496,NA
gettr,2023-01-26,159,NA
parler,2023-01-26,23,NA
gab,2023-01-26,30,NA
telegram,2023-01-27,17,NA
truth_social,2023-01-27,207,NA
gettr,2023-01-27,81,NA
parler,2023-01-27,9,NA
gab,2023-01-27,32,NA
telegram,2023-01-28,8,NA
truth_social,2023-01-28,154,NA
gettr,2023-01-28,45,NA
parler,2023-01-28,7,NA
gab,2023-01-28,23,NA
telegram,2023-01-29,21,NA
truth_social,2023-01-29,125,NA
gettr,2023-01-29,61,NA
parler,2023-01-29,12,NA
gab,2023-01-29,25,NA
telegram,2023-01-30,22,NA
truth_social,2023-01-30,197,NA
gettr,2023-01-30,78,NA
parler,2023-01-30,11,NA
gab,2023-01-30,106,NA
telegram,2023-01-31,20,NA
truth_social,2023-01-31,137,NA
gettr,2023-01-31,55,NA
parler,2023-01-31,10,NA
gab,2023-01-31,69,NA
telegram,2023-02-01,10,NA
truth_social,2023-02-01,98,NA
gettr,2023-02-01,76,NA
parler,2023-02-01,3,NA
gab,2023-02-01,32,NA
telegram,2023-02-02,10,NA
truth_social,2023-02-02,228,NA
gettr,2023-02-02,52,NA
parler,2023-02-02,8,NA
gab,2023-02-02,27,NA
telegram,2023-02-03,40,NA
truth_social,2023-02-03,712,NA
gettr,2023-02-03,181,NA
parler,2023-02-03,33,NA
gab,2023-02-03,66,NA
telegram,2023-02-04,12,NA
truth_social,2023-02-04,240,NA
gettr,2023-02-04,101,NA
parler,2023-02-04,16,NA
gab,2023-02-04,37,NA
telegram,2023-02-05,23,NA
truth_social,2023-02-05,207,NA
gettr,2023-02-05,56,NA
parler,2023-02-05,8,NA
gab,2023-02-05,26,NA
telegram,2023-02-06,13,NA
truth_social,2023-02-06,104,NA
gettr,2023-02-06,62,NA
parler,2023-02-06,12,NA
gab,2023-02-06,67,NA
telegram,2023-02-07,14,NA
truth_social,2023-02-07,172,NA
gettr,2023-02-07,51,NA
parler,2023-02-07,7,NA
gab,2023-02-07,43,NA
telegram,2023-02-08,22,NA
truth_social,2023-02-08,139,NA
gettr,2023-02-08,46,NA
parler,2023-02-08,5,NA
gab,2023-02-08,22,NA
telegram,2023-02-09,27,NA
truth_social,2023-02-09,156,NA
gettr,2023-02-09,75,NA
parler,2023-02-09,8,NA
